Cost,Path,Function-Type,Start,Iteration
1815,"['Devils', 'Hurricanes', 'Capitals', 'Blue Jackets', 'Penguins', 'Flyers', 'Devils', 'Islanders', 'Rangers']",Simple,Devils,145
2043,"['Devils', 'Blue Jackets', 'Hurricanes', 'Capitals', 'Penguins', 'Devils', 'Rangers', 'Islanders', 'Flyers']",Simple,Devils,146
2148,"['Devils', 'Rangers', 'Flyers', 'Penguins', 'Hurricanes', 'Blue Jackets', 'Capitals', 'Islanders', 'Devils']",Simple,Devils,147
1827,"['Devils', 'Flyers', 'Rangers', 'Islanders', 'Penguins', 'Devils', 'Capitals', 'Hurricanes', 'Blue Jackets']",Simple,Devils,148
1883,"['Devils', 'Flyers', 'Hurricanes', 'Capitals', 'Penguins', 'Blue Jackets', 'Islanders', 'Rangers', 'Devils']",Simple,Devils,149
1850,"['Devils', 'Blue Jackets', 'Penguins', 'Hurricanes', 'Capitals', 'Flyers', 'Rangers', 'Devils', 'Islanders']",Simple,Devils,150
1658,"['Devils', 'Penguins', 'Blue Jackets', 'Hurricanes', 'Capitals', 'Rangers', 'Islanders', 'Devils', 'Flyers']",Simple,Devils,151
1846,"['Devils', 'Blue Jackets', 'Penguins', 'Hurricanes', 'Capitals', 'Islanders', 'Rangers', 'Devils', 'Flyers']",Simple,Devils,152
1716,"['Devils', 'Rangers', 'Islanders', 'Devils', 'Penguins', 'Flyers', 'Capitals', 'Hurricanes', 'Blue Jackets']",Simple,Devils,153
1971,"['Devils', 'Blue Jackets', 'Hurricanes', 'Penguins', 'Capitals', 'Flyers', 'Devils', 'Islanders', 'Rangers']",Simple,Devils,154
2191,"['Devils', 'Flyers', 'Hurricanes', 'Islanders', 'Rangers', 'Blue Jackets', 'Penguins', 'Capitals', 'Devils']",Simple,Devils,155
1833,"['Devils', 'Capitals', 'Flyers', 'Hurricanes', 'Blue Jackets', 'Penguins', 'Devils', 'Islanders', 'Rangers']",Simple,Devils,156
2111,"['Devils', 'Blue Jackets', 'Hurricanes', 'Penguins', 'Devils', 'Rangers', 'Islanders', 'Flyers', 'Capitals']",Simple,Devils,157
1916,"['Devils', 'Capitals', 'Blue Jackets', 'Penguins', 'Hurricanes', 'Devils', 'Rangers', 'Islanders', 'Flyers']",Simple,Devils,158
2141,"['Devils', 'Hurricanes', 'Devils', 'Flyers', 'Capitals', 'Blue Jackets', 'Penguins', 'Islanders', 'Rangers']",Simple,Devils,159
1594,"['Devils', 'Rangers', 'Flyers', 'Islanders', 'Devils', 'Blue Jackets', 'Penguins', 'Capitals', 'Hurricanes']",Simple,Devils,160
1881,"['Devils', 'Rangers', 'Islanders', 'Blue Jackets', 'Penguins', 'Capitals', 'Hurricanes', 'Flyers', 'Devils']",Simple,Devils,161
2000,"['Devils', 'Penguins', 'Hurricanes', 'Blue Jackets', 'Capitals', 'Devils', 'Flyers', 'Rangers', 'Islanders']",Simple,Devils,162
2372,"['Devils', 'Blue Jackets', 'Capitals', 'Rangers', 'Flyers', 'Devils', 'Islanders', 'Hurricanes', 'Penguins']",Simple,Devils,163
1645,"['Devils', 'Penguins', 'Blue Jackets', 'Rangers', 'Islanders', 'Devils', 'Flyers', 'Capitals', 'Hurricanes']",Simple,Devils,164
2027,"['Devils', 'Rangers', 'Blue Jackets', 'Penguins', 'Islanders', 'Devils', 'Capitals', 'Flyers', 'Hurricanes']",Simple,Devils,165
2179,"['Devils', 'Capitals', 'Blue Jackets', 'Penguins', 'Rangers', 'Islanders', 'Hurricanes', 'Flyers', 'Devils']",Simple,Devils,166
1778,"['Devils', 'Islanders', 'Flyers', 'Capitals', 'Devils', 'Rangers', 'Blue Jackets', 'Penguins', 'Hurricanes']",Simple,Devils,167
1851,"['Devils', 'Penguins', 'Rangers', 'Islanders', 'Devils', 'Flyers', 'Capitals', 'Blue Jackets', 'Hurricanes']",Simple,Devils,168
1882,"['Devils', 'Islanders', 'Devils', 'Rangers', 'Flyers', 'Hurricanes', 'Blue Jackets', 'Capitals', 'Penguins']",Simple,Devils,169
1815,"['Devils', 'Rangers', 'Islanders', 'Blue Jackets', 'Penguins', 'Hurricanes', 'Capitals', 'Flyers', 'Devils']",Simple,Devils,170
2189,"['Devils', 'Hurricanes', 'Blue Jackets', 'Capitals', 'Rangers', 'Flyers', 'Islanders', 'Devils', 'Penguins']",Simple,Devils,171
1830,"['Devils', 'Hurricanes', 'Blue Jackets', 'Penguins', 'Capitals', 'Islanders', 'Devils', 'Flyers', 'Rangers']",Simple,Devils,172
1651,"['Devils', 'Flyers', 'Hurricanes', 'Blue Jackets', 'Penguins', 'Capitals', 'Devils', 'Islanders', 'Rangers']",Simple,Devils,173
