Cost,Path,Function-Type,Start
7199,"['Jets', 'Blues', 'Blackhawks', 'Predators', 'Stars', 'Wild', 'Avalanche', 'Coyotes', 'Jets']",Simple,Jets
6517,"['Jets', 'Predators', 'Blues', 'Blackhawks', 'Coyotes', 'Avalanche', 'Stars', 'Wild', 'Jets']",Simple,Jets
6817,"['Jets', 'Blues', 'Wild', 'Jets', 'Predators', 'Stars', 'Coyotes', 'Avalanche', 'Blackhawks']",Simple,Jets
6789,"['Jets', 'Wild', 'Coyotes', 'Avalanche', 'Stars', 'Predators', 'Jets', 'Blues', 'Blackhawks']",Simple,Jets
6877,"['Jets', 'Blackhawks', 'Stars', 'Coyotes', 'Avalanche', 'Wild', 'Predators', 'Blues', 'Jets']",Simple,Jets
7221,"['Jets', 'Wild', 'Predators', 'Stars', 'Blackhawks', 'Coyotes', 'Avalanche', 'Blues', 'Jets']",Simple,Jets
6013,"['Jets', 'Wild', 'Predators', 'Blackhawks', 'Blues', 'Jets', 'Avalanche', 'Coyotes', 'Stars']",Simple,Jets
6250,"['Jets', 'Stars', 'Predators', 'Coyotes', 'Avalanche', 'Blues', 'Blackhawks', 'Wild', 'Jets']",Simple,Jets
5572,"['Jets', 'Wild', 'Jets', 'Predators', 'Blues', 'Blackhawks', 'Avalanche', 'Stars', 'Coyotes']",Simple,Jets
5352,"['Jets', 'Wild', 'Jets', 'Predators', 'Blackhawks', 'Blues', 'Avalanche', 'Coyotes', 'Stars']",Simple,Jets
7314,"['Jets', 'Stars', 'Wild', 'Jets', 'Avalanche', 'Blackhawks', 'Blues', 'Predators', 'Coyotes']",Simple,Jets
5819,"['Jets', 'Blackhawks', 'Blues', 'Predators', 'Stars', 'Avalanche', 'Coyotes', 'Jets', 'Wild']",Simple,Jets
6165,"['Jets', 'Predators', 'Blues', 'Blackhawks', 'Wild', 'Jets', 'Coyotes', 'Avalanche', 'Stars']",Simple,Jets
6875,"['Jets', 'Blues', 'Jets', 'Wild', 'Blackhawks', 'Stars', 'Avalanche', 'Coyotes', 'Predators']",Simple,Jets
7208,"['Jets', 'Stars', 'Coyotes', 'Avalanche', 'Wild', 'Predators', 'Blues', 'Jets', 'Blackhawks']",Simple,Jets
6473,"['Jets', 'Wild', 'Blackhawks', 'Jets', 'Avalanche', 'Stars', 'Coyotes', 'Blues', 'Predators']",Simple,Jets
6001,"['Jets', 'Wild', 'Blackhawks', 'Blues', 'Jets', 'Stars', 'Predators', 'Avalanche', 'Coyotes']",Simple,Jets
6562,"['Jets', 'Wild', 'Coyotes', 'Avalanche', 'Stars', 'Jets', 'Blues', 'Predators', 'Blackhawks']",Simple,Jets
5932,"['Jets', 'Wild', 'Stars', 'Coyotes', 'Avalanche', 'Jets', 'Blackhawks', 'Predators', 'Blues']",Simple,Jets
6905,"['Jets', 'Predators', 'Blues', 'Avalanche', 'Stars', 'Coyotes', 'Blackhawks', 'Wild', 'Jets']",Simple,Jets
6293,"['Jets', 'Stars', 'Jets', 'Wild', 'Blackhawks', 'Blues', 'Predators', 'Coyotes', 'Avalanche']",Simple,Jets
5341,"['Jets', 'Wild', 'Blues', 'Blackhawks', 'Predators', 'Stars', 'Coyotes', 'Avalanche', 'Jets']",Simple,Jets
6881,"['Jets', 'Wild', 'Stars', 'Blues', 'Predators', 'Jets', 'Blackhawks', 'Coyotes', 'Avalanche']",Simple,Jets
6778,"['Jets', 'Blues', 'Wild', 'Jets', 'Predators', 'Blackhawks', 'Avalanche', 'Stars', 'Coyotes']",Simple,Jets
7231,"['Jets', 'Blues', 'Blackhawks', 'Wild', 'Stars', 'Avalanche', 'Coyotes', 'Predators', 'Jets']",Simple,Jets
6698,"['Jets', 'Predators', 'Wild', 'Jets', 'Blackhawks', 'Stars', 'Blues', 'Avalanche', 'Coyotes']",Simple,Jets
6617,"['Jets', 'Predators', 'Blues', 'Stars', 'Avalanche', 'Coyotes', 'Wild', 'Jets', 'Blackhawks']",Simple,Jets
7479,"['Jets', 'Blackhawks', 'Blues', 'Jets', 'Stars', 'Predators', 'Wild', 'Coyotes', 'Avalanche']",Simple,Jets
7384,"['Jets', 'Blues', 'Jets', 'Blackhawks', 'Wild', 'Avalanche', 'Coyotes', 'Predators', 'Stars']",Simple,Jets
7832,"['Jets', 'Wild', 'Blackhawks', 'Avalanche', 'Blues', 'Jets', 'Predators', 'Coyotes', 'Stars']",Simple,Jets
5977,"['Jets', 'Wild', 'Blackhawks', 'Coyotes', 'Avalanche', 'Stars', 'Predators', 'Blues', 'Jets']",Simple,Jets
6533,"['Jets', 'Blues', 'Wild', 'Blackhawks', 'Predators', 'Stars', 'Jets', 'Avalanche', 'Coyotes']",Simple,Jets
5624,"['Jets', 'Wild', 'Blackhawks', 'Blues', 'Predators', 'Avalanche', 'Coyotes', 'Stars', 'Jets']",Simple,Jets
6463,"['Jets', 'Wild', 'Stars', 'Avalanche', 'Coyotes', 'Blackhawks', 'Blues', 'Predators', 'Jets']",Simple,Jets
6450,"['Jets', 'Wild', 'Blackhawks', 'Avalanche', 'Coyotes', 'Predators', 'Blues', 'Stars', 'Jets']",Simple,Jets
5816,"['Jets', 'Wild', 'Avalanche', 'Coyotes', 'Stars', 'Blues', 'Blackhawks', 'Predators', 'Jets']",Simple,Jets
6383,"['Jets', 'Wild', 'Jets', 'Stars', 'Coyotes', 'Blues', 'Blackhawks', 'Predators', 'Avalanche']",Simple,Jets
6433,"['Jets', 'Avalanche', 'Stars', 'Coyotes', 'Jets', 'Wild', 'Blackhawks', 'Blues', 'Predators']",Simple,Jets
6422,"['Jets', 'Coyotes', 'Avalanche', 'Stars', 'Blues', 'Blackhawks', 'Predators', 'Jets', 'Wild']",Simple,Jets
6882,"['Jets', 'Avalanche', 'Coyotes', 'Wild', 'Blues', 'Stars', 'Predators', 'Blackhawks', 'Jets']",Simple,Jets
7360,"['Jets', 'Blackhawks', 'Stars', 'Blues', 'Wild', 'Predators', 'Jets', 'Avalanche', 'Coyotes']",Simple,Jets
6825,"['Jets', 'Avalanche', 'Coyotes', 'Blackhawks', 'Blues', 'Predators', 'Wild', 'Jets', 'Stars']",Simple,Jets
7700,"['Jets', 'Blackhawks', 'Stars', 'Coyotes', 'Avalanche', 'Predators', 'Jets', 'Blues', 'Wild']",Simple,Jets
5935,"['Jets', 'Stars', 'Blues', 'Blackhawks', 'Predators', 'Wild', 'Jets', 'Avalanche', 'Coyotes']",Simple,Jets
7664,"['Jets', 'Stars', 'Predators', 'Blackhawks', 'Blues', 'Wild', 'Avalanche', 'Jets', 'Coyotes']",Simple,Jets
