Cost,Path,Function-Type,Start,Iteration 
3920,"['Golden Knights', 'Ducks', 'Kraken', 'Golden Knights', 'Kings', 'Sharks', 'Canucks', 'Flames', 'Oilers']",Simple,Golden Knights,159
5041,"['Golden Knights', 'Kings', 'Ducks', 'Canucks', 'Sharks', 'Flames', 'Oilers', 'Kraken', 'Golden Knights']",Simple,Golden Knights,160
6070,"['Golden Knights', 'Ducks', 'Kraken', 'Flames', 'Canucks', 'Oilers', 'Kings', 'Sharks', 'Golden Knights']",Simple,Golden Knights,161
4886,"['Golden Knights', 'Canucks', 'Flames', 'Oilers', 'Kraken', 'Ducks', 'Kings', 'Sharks', 'Golden Knights']",Simple,Golden Knights,162
5378,"['Golden Knights', 'Ducks', 'Oilers', 'Flames', 'Canucks', 'Golden Knights', 'Kings', 'Sharks', 'Kraken']",Simple,Golden Knights,163
5931,"['Golden Knights', 'Kraken', 'Oilers', 'Canucks', 'Flames', 'Kings', 'Sharks', 'Golden Knights', 'Ducks']",Simple,Golden Knights,164
3838,"['Golden Knights', 'Canucks', 'Oilers', 'Flames', 'Kraken', 'Golden Knights', 'Sharks', 'Kings', 'Ducks']",Simple,Golden Knights,165
5494,"['Golden Knights', 'Sharks', 'Canucks', 'Ducks', 'Kings', 'Flames', 'Oilers', 'Kraken', 'Golden Knights']",Simple,Golden Knights,166
4354,"['Golden Knights', 'Ducks', 'Kings', 'Sharks', 'Oilers', 'Flames', 'Kraken', 'Canucks', 'Golden Knights']",Simple,Golden Knights,167
5166,"['Golden Knights', 'Sharks', 'Golden Knights', 'Kings', 'Oilers', 'Flames', 'Canucks', 'Kraken', 'Ducks']",Simple,Golden Knights,168
5263,"['Golden Knights', 'Sharks', 'Ducks', 'Canucks', 'Flames', 'Oilers', 'Kraken', 'Kings', 'Golden Knights']",Simple,Golden Knights,169
